"cas"	"cluster"
"338"	"118134-30-8"	8
"339"	"74341-78-9"	8
"340"	"143-16-8"	8
"341"	"112398-08-0"	8
"342"	"23651-95-8"	8
"343"	"21216-78-4"	8
"344"	"55-48-1"	8
"345"	"357-57-3"	8
"346"	"116287-13-9"	8
"347"	"2425-79-8"	8
"348"	"15646-46-5"	8
"349"	"65505-17-1"	8
"350"	"6164-98-3"	8
"351"	"6640-24-0"	8
"352"	"10361-37-2"	8
"353"	"103-76-4"	8
"354"	"108929-04-0"	8
"355"	"77145-61-0"	8
"356"	"2353-33-5"	8
"357"	"1421-65-4"	8
"358"	"69056-62-8"	8
"359"	"127-85-5"	8
"360"	"10326-27-9"	8
"361"	"54-42-2"	8
"362"	"124-43-6"	8
"363"	"616202-92-7"	8
"364"	"747-36-4"	8
"365"	"16506-27-7"	8
"366"	"24602-86-6"	8
"367"	"2386-87-0"	8
"368"	"1541-81-7"	8
"369"	"2605-79-0"	8
"370"	"4630-95-9"	8
"371"	"35891-70-4"	8
"372"	"76150-91-9"	9
"373"	"17700-09-3"	9
"374"	"91-58-7"	9
"375"	"13708-12-8"	9
"376"	"83-32-9"	9
"377"	"79-78-7"	9
"378"	"598-77-6"	9
"379"	"20098-48-0"	9
"380"	"208-96-8"	9
"381"	"98-01-1"	9
"382"	"50924-49-7"	9
"383"	"1632-73-1"	9
"384"	"101-55-3"	9
"385"	"90-17-5"	9
"386"	"2040-10-0"	9
"387"	"127-51-5"	9
"388"	"117332-93-1"	9
"389"	"1120-01-0"	9
"390"	"778-22-3"	9
"391"	"139-96-8"	9
"392"	"6707-60-4"	9
"393"	"6149-03-7"	9
"394"	"634-93-5"	9
"395"	"89-72-5"	9
"396"	"128-37-0"	9
"397"	"8008-45-5"	9
"398"	"NOCAS_49471"	9
"399"	"2078-54-8"	9
"400"	"502-72-7"	9
"401"	"110-46-3"	9
"402"	"112-90-3"	9
"403"	"103-29-7"	9
"404"	"145701-23-1"	9
"405"	"57-14-7"	9
"406"	"203-64-5"	9
"407"	"84485-00-7"	9
