CAS RN	Structure_SMILES_2D-QSAR
1836-75-5	[O-][N+](=O)C1=CC=C(OC2=C(Cl)C=C(Cl)C=C2)C=C1
101-63-3	[O-][N+](=O)C1=CC=C(OC2=CC=C(C=C2)[N+]([O-])=O)C=C1
19881-18-6	[O-][N+](=O)C1=CC=C(OC2=CC=C(C=C2)N=C=S)C=C1
1594-56-5	[O-][N+](=O)C1=CC=C(SC#N)C(=C1)[N+]([O-])=O
89-40-7	[O-][N+](=O)C1=CC=C2C(=O)NC(=O)C2=C1
3682-19-7	[O-][N+](=O)C1=CC=C2C(=O)NNC(=O)C2=C1
5466-84-2	[O-][N+](=O)C1=CC=C2C(=O)OC(=O)C2=C1
5522-43-0	[O-][N+](=O)C1=CC=C2C=CC3=CC=CC4=CC=C1C2=C34
602-87-9	[O-][N+](=O)C1=CC=C2CCC3=CC=CC1=C23
146-22-5	[O-][N+](=O)C1=CC=C2NC(=O)CN=C(C3=CC=CC=C3)C2=C1
5401-94-5	[O-][N+](=O)C1=CC=C2NN=CC2=C1
99-61-6	[O-][N+](=O)C1=CC=CC(C=O)=C1
619-23-8	[O-][N+](=O)C1=CC=CC(CCl)=C1
121-73-3	[O-][N+](=O)C1=CC=CC(Cl)=C1
3209-22-1	[O-][N+](=O)C1=CC=CC(Cl)=C1Cl
98-95-3	[O-][N+](=O)C1=CC=CC=C1
384-22-5	[O-][N+](=O)C1=CC=CC=C1C(F)(F)F
86-00-0	[O-][N+](=O)C1=CC=CC=C1C1=CC=CC=C1
612-23-7	[O-][N+](=O)C1=CC=CC=C1CCl
119-75-5	[O-][N+](=O)C1=CC=CC=C1NC1=CC=CC=C1
605-71-0	[O-][N+](=O)C1=CC=CC2=C(C=CC=C12)[N+]([O-])=O
602-38-0	[O-][N+](=O)C1=CC=CC2=CC=CC(=C12)[N+]([O-])=O
607-35-2	[O-][N+](=O)C1=CC=CC2=CC=CN=C12
607-57-8	[O-][N+](=O)C1=CC2=C(C=C1)C1=C(C2)C=CC=C1
611-09-6	[O-][N+](=O)C1=CC2=C(NC(=O)C2=O)C=C1
94-52-0	[O-][N+](=O)C1=CC2=C(NC=N2)C=C1
606-37-1	[O-][N+](=O)C1=CC2=CC=CC=C2C(=C1)[N+]([O-])=O
613-50-3	[O-][N+](=O)C1=CC2=CC=CN=C2C=C1
3810-35-3	[O-][N+](=O)C1=CN=C(NC(=O)C2=CC=CS2)S1
61-57-4	[O-][N+](=O)C1=CN=C(S1)N1CCNC1=O
6506-37-2	[O-][N+](=O)C1=CN=CN1CCN1CCOCC1
22994-85-0	[O-][N+](=O)C1=NC=CN1CC(=O)NCC1=CC=CC=C1
87-33-2	[O-][N+](=O)OC1COC2C(COC12)O[N+]([O-])=O
78-11-5	[O-][N+](=O)OCC(CO[N+]([O-])=O)(CO[N+]([O-])=O)CO[N+]([O-])=O
7077-34-1	[O-][N+](=O)OCCN(CCO[N+]([O-])=O)CCO[N+]([O-])=O
65141-46-0	[O-][N+](=O)OCCNC(=O)C1=CN=CC=C1
963-39-3	[O-][N+]1=C(C2=CC=CC=C2)C2=C(NC(=O)C1)C=CC(Cl)=C2
3811-73-2	[O-][N+]1=C(S)C=CC=C1
3696-28-4	[O-][N+]1=C(SSC2=[N+]([O-])C=CC=C2)C=CC=C1
2423-66-7	[O-][N+]1=C2C=CC=CC2=[N+]([O-])C=C1
1121-76-2	[O-][N+]1=CC=C(Cl)C=C1
50-59-9	[O-]C(=O)C1=C(C[N+]2=CC=CC=C2)CSC2C(NC(=O)CC3=CC=CS3)C(=O)N12
506-68-3	BrC#N
115-17-3	BrC(Br)(Br)C=O
75-25-2	BrC(Br)Br
3252-43-5	BrC(Br)C#N
75-95-6	BrC(Br)C(Br)(Br)Br
79-27-6	BrC(Br)C(Br)Br
87-82-1	BrC1=C(Br)C(Br)=C(Br)C(Br)=C1Br
85446-17-9	BrC1=C(Br)C(Br)=C(Br)C(OC2=CC(Br)=C(Br)C(Br)=C2Br)=C1
1163-19-5	BrC1=C(Br)C(Br)=C(OC2=C(Br)C(Br)=C(Br)C(Br)=C2Br)C(Br)=C1Br
15686-72-3	BrC1=C(Br)C=C(S1)C(=O)NC1=CC=C(Br)C=C1
2052-07-5	BrC1=C(C=CC=C1)C1=CC=CC=C1
632-79-1	BrC1=C2C(=O)OC(=O)C2=C(Br)C(Br)=C1Br
523-27-3	BrC1=C2C=CC=CC2=C(Br)C2=CC=CC=C12
1564-64-3	BrC1=C2C=CC=CC2=CC2=CC=CC=C12
59803-98-4	BrC1=C2N=CC=NC2=CC=C1NC1=NCCN1
615-54-3	BrC1=CC(Br)=C(Br)C=C1
60348-60-9	BrC1=CC(Br)=C(OC2=C(Br)C=C(Br)C(Br)=C2)C=C1
68631-49-2	BrC1=CC(Br)=C(OC2=CC(Br)=C(Br)C=C2Br)C=C1Br
5436-43-1	BrC1=CC(Br)=C(OC2=CC=C(Br)C=C2Br)C=C1
3278-89-5	BrC1=CC(Br)=C(OCC=C)C(Br)=C1
626-39-1	BrC1=CC(Br)=CC(Br)=C1
106-37-6	BrC1=CC=C(Br)C=C1
35578-47-3	BrC1=CC=C(C=C1)C(=O)C(=O)C1=CC=C(Br)C=C1
104653-34-1	BrC1=CC=C(C=C1)C1=CC=C(C=C1)C1CC(C2C(=O)SC3=C(C=CC=C3)C2=O)C2=C(C1)C=CC=C2
92-66-0	BrC1=CC=C(C=C1)C1=CC=CC=C1
1146-98-1	BrC1=CC=C(C=C1)C1C(=O)C2=CC=CC=C2C1=O
298198-52-4	BrC1=CC=C(OC(=O)N2CCN3CCC2CC3)C=C1
2050-47-7	BrC1=CC=C(OC2=CC=C(Br)C=C2)C=C1
101-55-3	BrC1=CC=C(OC2=CC=CC=C2)C=C1
2113-57-7	BrC1=CC=CC(=C1)C1=CC=CC=C1
3132-99-8	BrC1=CC=CC(C=O)=C1
108-86-1	BrC1=CC=CC=C1
109-04-6	BrC1=CC=CC=N1
573-17-1	BrC1=CC2=C(C=CC=C2)C2=C1C=CC=C2
2516-40-7	BrC1=NC2=C(S1)C=CC=C2
3194-55-6	BrC1CCC(Br)C(Br)CCC(Br)C(Br)CCC1Br
74-95-3	BrCBr
590-17-0	BrCC#N
70-11-1	BrCC(=O)C1=CC=CC=C1
5437-45-6	BrCC(=O)OCC1=CC=CC=C1
630-16-0	BrCC(Br)(Br)Br
35691-65-7	BrCC(Br)(CCC#N)C#N
93-52-7	BrCC(Br)C1=CC=CC=C1
3322-93-8	BrCC(Br)C1CCC(Br)C(Br)C1
19660-16-3	BrCC(Br)COC(=O)C=C
126-72-7	BrCC(Br)COP(=O)(OCC(Br)CBr)OCC(Br)CBr
106-95-6	BrCC=C
821-06-7	BrCC=CCBr
589-15-1	BrCC1=CC=C(Br)C=C1
51632-16-7	BrCC1=CC=CC(OC2=CC=CC=C2)=C1
100-39-0	BrCC1=CC=CC=C1
3132-64-7	BrCC1CO1
106-93-4	BrCCBr
54-91-1	BrCCC(=O)N1CCN(CC1)C(=O)CCBr
103-63-9	BrCCC1=CC=CC=C1
109-64-8	BrCCCBr
110-52-1	BrCCCCBr
111-24-0	BrCCCCCBr
629-03-8	BrCCCCCCBr
589-10-6	BrCCOC1=CC=CC=C1
161735-79-1	C#CCNC1CCC2=CC=CC=C12
544-92-3	C#N
58-72-0	C(=C(C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=CC=C1
103-30-0	C(=CC1=CC=CC=C1)C1=CC=CC=C1
645-49-8	C(=CC1=CC=CC=C1)C1=CC=CC=C1
103-31-1	C(=CC1=CC=NC=C1)C1=CC=CC=C1
6724-53-4	C(C(C1CCCCC1)C1CCCCC1)C1CCCCN1
1497-49-0	C(C=CC=NC1=CC=CC=C1)C=NC1=CC=CC=C1
298-57-7	C(C=CC1=CC=CC=C1)N1CCN(CC1)C(C1=CC=CC=C1)C1=CC=CC=C1
15619-48-4	C(C1=CC=CC=C1)[N+]1=C2C=CC=CC2=CC=C1
1100-88-5	C(C1=CC=CC=C1)[P+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1
101-81-5	C(C1=CC=CC=C1)C1=CC=CC=C1
59-97-2	C(C1=NCCN1)C1=CC=CC=C1
835-31-4	C(C1=NCCN1)C1=CC=CC2=C1C=CC=C2
550-99-2	C(C1=NCCN1)C1=CC=CC2=C1C=CC=C2
88598-74-7	C(C1CN2CCC1CC2)N1C2=CC=CC=C2SC2=C1C=CC=C2
29216-28-2	C(C1CN2CCC1CC2)N1C2=CC=CC=C2SC2=C1C=CC=C2
28768-32-3	C(C1CO1)N(CC1CO1)C1=CC=C(CC2=CC=C(C=C2)N(CC2CO2)CC2CO2)C=C1
59-39-2	C(C1COC2=CC=CC=C2O1)N1CCCCC1
127308-82-1	C(CC1=CC=C2OCOC2=C1)N1CCCC(C1)OC(C1=CC=CC=C1)C1=CC=CC=C1
127308-98-9	C(CC1=CC=C2OCOC2=C1)N1CCCC(C1)OC(C1=CC=CC=C1)C1=CC=CC=C1
103-29-7	C(CC1=CC=CC=C1)C1=CC=CC=C1
2110-18-1	C(CC1=CC=CC=C1)CC1=CC=CC=N1
2057-49-0	C(CC1=CC=CC=C1)CC1=CC=NC=C1
79069-94-6	C(CC1=CC=CC=C1)NC1=NC(=CS1)C1=CC=CC=C1
17252-51-6	C(CC1=CC=NC=C1)CC1=CC=NC=C1
63845-42-1	C(CC1=CNC2=CC=CC=C12)C1CCNCC1
2425-79-8	C(CCOCC1CO1)COCC1CO1
84-08-2	C(CN1C2=CC=CC=C2SC2=CC=CC=C12)N1CCCC1
17692-39-6	C(CN1CCOCC1)CC1=CC=C(COC2=CC=CC=C2)C=C1
6425-39-4	C(CN1CCOCC1)OCCN1CCOCC1
3412-76-8	C(CNCC1=CC=CC=C1)NCC1=CC=CC=C1
104-66-5	C(COC1=CC=CC=C1)OC1=CC=CC=C1
2224-15-9	C(COCC1CO1)OCC1CO1
622-20-8	C(CSC1=CC=CC=C1)SC1=CC=CC=C1
2508-72-7	C(N(CC1=CC=CC=C1)C1=CC=CC=C1)C1=NCCN1
620-40-6	C(N(CC1=CC=CC=C1)CC1=CC=CC=C1)C1=CC=CC=C1
1438-94-4	C(N1C=CC=C1)C1=CC=CO1
880-09-1	C(N1CCCCC1)N1CCCCC1
3605-01-4	C(N1CCN(CC1)C1=NC=CC=N1)C1=CC2=C(OCO2)C=C1
1214-39-7	C(NC1=C2N=CN=C2N=CN1)C1=CC=CC=C1
525-79-1	C(NC1=C2N=CN=C2N=CN1)C1=CC=CO1
2312-73-4	C(NC1=NC=NC2=C1N=CN2C1CCCCO1)C1=CC=CC=C1
103-49-1	C(NCC1=CC=CC=C1)C1=CC=CC=C1
59939-16-1	C(OC1=C(C=CC=C1)C1CC1)C1=NCCN1
101-90-6	C(OC1=CC(OCC2CO2)=CC=C1)C1CO1
7328-97-4	C(OC1=CC=C(C=C1)C(C(C1=CC=C(OCC2CO2)C=C1)C1=CC=C(OCC2CO2)C=C1)C1=CC=C(OCC2CO2)C=C1)C1CO1
66072-38-6	C(OC1=CC=C(C=C1)C(C1=CC=C(OCC2CO2)C=C1)C1=CC=C(OCC2CO2)C=C1)C1CO1
5026-74-4	C(OC1=CC=C(C=C1)N(CC1CO1)CC1CO1)C1CO1
2095-03-6	C(OC1=CC=C(CC2=CC=C(OCC3CO3)C=C2)C=C1)C1CO1
122-60-1	C(OC1=CC=CC=C1)C1CO1
103-50-4	C(OCC1=CC=CC=C1)C1=CC=CC=C1
