cas,cluster,smiles,inchikey
125-04-2,4,[Na+].[O-]C(=O)CCC(=O)OCC(=O)[C@@]4(O)CC[C@@H]2[C@]4(C)C[C@H](O)[C@@H]1[C@@]3(C)CCC(=O)C=C3CC[C@H]12,HHZQLQREDATOBM-CODXZCKSSA-M
382-67-2,4,OCC(=O)[C@H]4[C@H](C)C[C@@H]3[C@]4(C)C[C@H](O)[C@@]2(F)[C@H]3CCC1=CC(=O)C=C[C@@]12C,VWVSBHGCDBMOOT-IIEHVVJPSA-N
638-94-8,4,OCC(=O)[C@@]54OC(C)(C)O[C@@H]5C[C@@H]3[C@]4(C)C[C@H](O)[C@H]2[C@H]3CCC1=CC(=O)C=C[C@@]12C,WBGKWQHBNHJJPZ-LECWWXJVSA-N
356-12-7,4,CC(=O)OCC(=O)[C@]45OC(C)(C)O[C@@H]5C[C@@H]3[C@]4(C)C[C@H](O)[C@@]2(F)[C@H]3C[C@H](F)C1=CC(=O)C=C[C@@]12C,WJOHZNCJWYWUJD-IUGZLZTKSA-N
80474-14-2,4,O=C(SCF)[C@@]4(OC(=O)CC)[C@H](C)C[C@H]3C2C[C@H](F)C1=CC(=O)C=C[C@]1(C)[C@@]2(F)[C@@H](O)C[C@@]34C,WMWTYOKRWGGJOA-ZHLGSTKJSA-N
2135-17-3,4,OCC(=O)[C@@]4(O)[C@H](C)C[C@@H]3[C@]4(C)C[C@H](O)[C@@]2(F)[C@H]3C[C@H](F)C1=CC(=O)C=C[C@@]12C,WXURHACBFYSXBI-GQKYHHCASA-N
3385-03-3,4,OCC(=O)[C@@]54OC(C)(C)O[C@@H]5C[C@@H]3[C@]4(C)C[C@H](O)[C@H]2[C@H]3C[C@H](F)C1=CC(=O)C=C[C@@]12C,XSFJVAJPIHIPKU-XWCQMRHXSA-N
76-25-5,4,OCC(=O)[C@@]54OC(C)(C)O[C@@H]5C[C@@H]3[C@]4(C)C[C@H](O)[C@@]2(F)[C@H]3CCC1=CC(=O)C=C[C@@]12C,YNDXUCZADRHECN-JNQJZLCISA-N
338-98-7,4,CC(=O)OCC(=O)[C@@]4(O)CC[C@@H]3[C@]4(C)C[C@H](O)[C@@]2(F)[C@H]3CCC1=CC(=O)C=C[C@@]12C,ZOCUOMKMBMEYQV-GSLJADNHSA-N
2349-07-7,5,O=C(OCCCCCC)C(C)C,CYHBDKTZDLSRMY-UHFFFAOYSA-N
72590-77-3,5,CCC(=O)OCC(=O)[C@@]4(OC(=O)CCC)CC[C@@H]2[C@]4(C)C[C@H](O)[C@@H]1[C@@]3(C)CCC(=O)C=C3CC[C@H]12,FOGXJPFPZOHSQS-AYVLZSQQSA-N
76-90-4,5,[Br-].O=C(OC1CCC[N+](C)(C)C1)C(O)(c2ccccc2)c3ccccc3,JRRNZNSGDSFFIR-UHFFFAOYSA-M
2011-67-8,5,[O-][N+](=O)c1ccc2c(c1)C(=NCC(=O)N2C)c3ccccc3,GWUSZQUVEVMBPI-UHFFFAOYSA-N
115256-11-6,5,CS(=O)(=O)Nc1ccc(cc1)CCN(C)CCOc2ccc(cc2)NS(C)(=O)=O,IXTMWRCNAAVVAI-UHFFFAOYSA-N
1180-71-8,5,C[C@]35CC[C@@H]1[C@@]76COC(=O)C[C@@H]7OC(C)(C)[C@@H]6CC(=O)[C@@]1(C)[C@@]45O[C@@H]4C(=O)O[C@H]3c2ccoc2,KBDSLGBFQAGHBE-MSGMIQHVSA-N
99464-64-9,5,O=C(OCC)OC(C)OC=2c1ccccc1S(=O)(=O)N(C)C=2C(=O)Nc3ccccn3,LSNWBKACGXCGAJ-UHFFFAOYSA-N
544-62-7,5,OC(CO)COCCCCCCCCCCCCCCCCCC,OGBUMNBNEWYMNJ-UHFFFAOYSA-N
13380-94-4,5,O=C1CC2CC1C3CCCC23,OMIDXVJKZCPKEI-UHFFFAOYSA-N
30748-29-9,5,C/C(C)=C\CC2C(=O)N(c1ccccc1)N(C2=O)c3ccccc3,RBBWCVQDXDFISW-UHFFFAOYSA-N
1642-54-2,5,O=C(N1CCN(C)CC1)N(CC)CC.O=C(O)C(O)(CC(=O)O)CC(=O)O,PGNKBEARDDELNB-UHFFFAOYSA-N
55837-27-9,5,O=C(O)c2cc(c(Oc1ccccc1)c(c2)N3CCCC3)S(N)(=O)=O,UJEWTUDSLQGTOA-UHFFFAOYSA-N
26040-51-7,5,Brc1c(c(c(Br)c(Br)c1Br)C(=O)OCC(CC)CCCC)C(=O)OCC(CC)CCCC,UUEDINPOVKWVAZ-UHFFFAOYSA-N
88678-31-3,5,COc1cccc(n1)N(C)C(=S)Oc2cc3CCCCc3cc2,VPHPQNGOVQYUMG-UHFFFAOYSA-N
