cas,cluster,smiles
82410-32-0,8,NC1=NC2=C(N=CN2COC(CO)CO)C(=O)N1
630-10-4,8,NC(N)=[Se]
39809-25-1,8,NC1=NC(=O)C2=C(N1)N(CCC(CO)CO)C=N2
2050-99-9,8,CC(C)CCC(=O)CCC(C)C
16488-48-5,8,CCCCNC1=CC=C(C=C1)C(=O)OCCN(CC)CC
34368-04-2,8,CC(CCC1=CC=C(O)C=C1)NCCC1=CC(O)=C(O)C=C1
5875-06-9,8,CCCOC1=C(N)C=C(C=C1)C(=O)OCCN(CC)CC
6981-18-6,8,COC1=C(OC)C=C(CC2=CN=C(N)N=C2N)C(C)=C1
51229-78-8,8,ClC=CC[N+]12CN3CN(CN(C3)C1)C2
130-95-0,8,COC1=CC2=C(C=CN=C2C=C1)C(O)C1CC2CCN1CC2C=C
200707-85-3,8,NC(=O)COCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1
59277-89-3,8,NC1=NC2=C(N=CN2COCCO)C(=O)N1
143-23-7,8,NCCCCCCNCCCCCCN
138472-01-2,8,CCC(=CC(N=O)C(N)=O)C(C)[N+]([O-])=O
1443-44-3,8,CCC(=O)N(C1CCN(CC1)C(C)CC1=CC=CC=C1)C1=CC=CC=C1
106017-08-7,8,CN1CCN(CC1)C1=C(F)C=C2C(=O)C(=CN3CCSC1=C23)C(O)=O
116714-46-6,8,FC(OC(F)(F)F)C(F)(F)OC1=C(Cl)C=C(NC(=O)NC(=O)C2=C(F)C=CC=C2F)C=C1
63659-18-7,8,CC(C)NCC(O)COC1=CC=C(CCOCC2CC2)C=C1
1248-42-6,8,COC(=O)C1=CC=CC=C1C(=O)C1=CC=C(OCCN2CCCCC2)C=C1
972-02-1,8,OC(CCCN1CCCCC1)(C1=CC=CC=C1)C1=CC=CC=C1
97-39-2,8,CC1=CC=CC=C1NC(=N)NC1=C(C)C=CC=C1
2897-60-1,8,CCO[Si](C)(CCCOCC1CO1)OCC
15318-45-3,8,CS(=O)(=O)C1=CC=C(C=C1)C(O)C(CO)NC(=O)C(Cl)Cl
94-23-5,8,CCOC1=CC=C(C=C1)C(=O)OCCN(CC)CC
35035-05-3,8,COC1CC(C[N+](C)(C)C1)=C(C1=CC=CS1)C1=CC=CS1
75-97-8,8,CC(=O)C(C)(C)C
118134-30-8,8,CCCN(CC)CC1COC2(CCC(CC2)C(C)(C)C)O1
74341-78-9,8,CCNC(C)CC1=CC=C2OCOC2=C1
143-16-8,8,CCCCCCNCCCCCC
112398-08-0,8,[H]C12CN(C3=C(F)C=C4C(=O)C(=CN(C5CC5)C4=C3)C(O)=O)C([H])(CN1C)C2
23651-95-8,8,NC(C(O)C1=CC(O)=C(O)C=C1)C(O)=O
21216-78-4,8,C[N+]1(CC2COC(O2)(C2=CC=CC=C2)C2=CC=CC=C2)CCCCC1
357-57-3,8,[H]C12CC3([H])C4C5N6C7=C(C=C(OC)C(OC)=C7)C15CCN2CC3=CCOC4CC6=O
116287-13-9,8,CC(CN1CCCC1)C(=O)C1=CC=C(C=C1)C(F)(F)F
2425-79-8,8,C(CCOCC1CO1)COCC1CO1
15646-46-5,8,CCOC=C1N=C(OC1=O)C1=CC=CC=C1
65505-17-1,8,CSSC1=C(C)OC=C1
6164-98-3,8,CN(C)C=NC1=CC=C(Cl)C=C1C
6640-24-0,8,ClC1=CC(=CC=C1)N1CCNCC1
103-76-4,8,OCCN1CCNCC1
108929-04-0,8,NC1=NCC2N1C1=CC=CC=C1CC1=CC=CC=C21
77145-61-0,8,NC1CCN(CC1)C1=NC(Cl)=CC=C1
2353-33-5,8,NC1=NC(=O)N(C=N1)C1CC(O)C(CO)O1
1421-65-4,8,COC(=O)C(N)CC1=CC(O)=C(O)C=C1
69056-62-8,8,CCCC[P+](C)(CCCC)CCCC
