"Gene","Overall_Centrality","Score_DC","Score_BC","Score_CC","Score_MCC","Score_DMNC","Rank_DC","Rank_BC","Rank_CC","Rank_MCC","Rank_DMNC"
"FADD",0.316689524818862,8,1424.320794,69.87619048,10,0.284196856,21,17,18,40,77
"KEAP1",0.314803603633833,7,1569.623675,70.75952381,9,0.284196856,26,16,14,44,77
"CXCL16",0.312369172851729,6,182.1249191,62.99285714,15,0.388957583,36,83,47,30,17
"CTTN",0.308905484976669,8,1068.503702,68.96666667,10,0.284196856,21,25,21,40,77
"ADIPOQ",0.301216283947108,7,355.6237365,65.90952381,12,0.324131319,26,59,33,36,24
"ZC3H18",0.294466935493696,7,503.6651279,58.66071429,15,0.332844139,26,44,67,30,20
"PTPRF",0.293447220795294,5,1143.716754,66.54285714,5,0.307786103,48,24,31,60,40
"KDM5C",0.293241329159668,7,662.201657,63.76666667,8,0.308975371,26,35,42,47,28
"LRP2",0.290220456807208,6,384.4276611,67.54285714,7,0.308975371,36,53,28,50,28
"PSAP",0.282644872983726,6,483.7540543,58.76666667,11,0.324131319,36,46,66,38,24
"SEC24B",0.281289392385209,4,2087.256349,55.89285714,4,0.307786103,61,9,79,65,40
"NOS1",0.281141938069533,6,566.6382173,62.23333333,6,0.307786103,36,37,50,54,40
"EIF2S3",0.27888637956842,7,373.107625,62.93333333,9,0.284196856,26,54,48,44,77
"ITSN2",0.277330982922779,5,286.1500191,65.02619048,6,0.308975371,48,75,34,54,28
"SDHA",0.276439399646577,6,521.235771,63.51904762,8,0.284196856,36,43,44,47,77
"PDK1",0.272942104043425,5,327.6126312,66.37619048,7,0.284196856,48,73,32,50,77
"USH2A",0.26971246609507,5,1217.244257,54.32738095,5,0.307786103,48,21,89,60,40
"HNRNPM",0.26846446645052,6,501.5797321,59.77619048,8,0.284196856,36,45,59,47,77
"CTSH",0.26706782380197,5,354.0261062,59.45,6,0.308975371,48,60,61,54,28
"GCN1",0.267019762361618,5,562.8943245,58.34285714,5,0.307786103,48,38,68,60,40
"RPS6KB1",0.266171043091673,5,334.5014145,59.1702381,6,0.308975371,48,72,64,54,28
"DSG2",0.265731037629876,6,282.9358253,67.35952381,10,0.237745814,36,76,29,40,90
"SIN3B",0.259833051272729,6,293.7875397,53.40952381,7,0.308975371,36,74,95,50,28
"EFEMP1",0.259485688432462,3,120.4683869,64.24285714,3,0.307786103,72,94,38,76,40
"AKAP12",0.259256231866295,3,188.4840271,63.57619048,3,0.307786103,72,81,43,76,40
"CCN1",0.257974275852702,3,4.915873016,63.82619048,4,0.308975371,72,125,41,65,28
"NCKAP1",0.255642103204576,6,136.8828366,60.32857143,9,0.259305055,36,89,57,44,88
"FLNB",0.255295871485651,4,121.5476571,59.19285714,4,0.307786103,61,93,62,65,40
"BAZ2A",0.254370747113616,4,534.1202174,55.37738095,4,0.307786103,61,40,82,65,40
"DDX23",0.251867300390987,4,140.3468404,56.74285714,5,0.308975371,61,88,74,60,28
"USP9X",0.249876167833726,3,53.48949557,60.08571429,3,0.307786103,72,105,58,76,40
"LIMD1",0.249620950621001,3,104.7680164,59.54285714,3,0.307786103,72,97,60,76,40
"FOLR2",0.249393693040969,2,0,63.27619048,2,0.307786103,100,131,45,100,40
"TNFSF12",0.249074800315021,4,107.5923851,56.26190476,4,0.307786103,61,96,76,65,40
"ST3GAL1",0.247099341346747,4,553.0572872,51.66428571,4,0.307786103,61,39,110,65,40
"TPM4",0.246972555644296,4,30.64189471,59.07738095,6,0.284196856,61,111,65,54,77
"BMP6",0.246221728223689,3,16.66060606,57.97857143,4,0.308975371,72,113,69,65,28
"HLA-E",0.245711424855046,3,200.4017316,56.85,3,0.307786103,72,79,73,76,40
"ATP6V1F",0.244471567885859,3,50.0008325,57.46904762,3,0.307786103,72,106,71,76,40
"GLB1",0.243821687329701,5,415.817316,48.18809524,5,0.307786103,48,50,134,60,40
"PLEKHG4",0.24226130781383,3,112.418254,55.87857143,3,0.307786103,72,95,80,76,40
"TNFRSF11A",0.242214009112456,3,72.77091046,56.17857143,3,0.307786103,72,102,77,76,40
"SYNJ2",0.240549747857426,3,9.644444444,55.87857143,3,0.307786103,72,121,80,76,40
"ADM",0.23691771337768,2,0,57.1702381,2,0.307786103,100,131,72,100,40
"OGT",0.236375977617687,3,191.507283,52.35357143,3,0.307786103,72,80,106,76,40
"ALMS1",0.235636623613049,4,722.2285714,44.67539683,4,0.307786103,61,29,149,65,40
"PFKFB2",0.235555547527131,2,0,56.50357143,2,0.307786103,100,131,75,100,40
"NPC2",0.232785588822345,4,63.1543512,51.86904762,6,0.284196856,61,103,109,54,77
"FGL2",0.232604999010089,2,0,55.05952381,2,0.307786103,100,131,84,100,40
"ECPAS",0.2297686995405,3,231.3352941,48.7952381,3,0.307786103,72,77,128,76,40
"UBE3C",0.229768266931943,3,354,47.7952381,3,0.307786103,72,61,137,76,40
"CCL16",0.229476882449451,2,0,53.52857143,2,0.307786103,100,131,94,100,40
"CUBN",0.228114716598902,2,0,52.86190476,2,0.307786103,100,131,101,100,40
"MTMR1",0.226137143692314,2,0,51.89404762,2,0.307786103,100,131,108,100,40
"SRRM2",0.224658833489103,3,8.229761905,47.49404762,4,0.308975371,72,123,139,65,28
"SUDS3",0.222204275408907,3,10.99126984,46.2702381,4,0.308975371,72,118,140,65,28
"B3GNT7",0.221921726889854,2,0,49.83095238,2,0.307786103,100,131,120,100,40
"CEP250",0.205515736601538,2,0,41.8015873,2,0.307786103,100,131,153,100,40
"PPP2R1B",0.153172459326743,3,404.9266221,62.69285714,3,0,72,51,49,76,96
"APEX1",0.151828180110434,3,165.8774648,63.98333333,3,0,72,86,39,76,96
"SFTPD",0.151670313092406,3,169.5434747,63.87619048,3,0,72,85,40,76,96
"GBF1",0.148801420168309,4,1808.842063,46.1202381,4,0,61,11,141,65,96
"PCDH7",0.142500715027588,3,366.1825397,57.78571429,3,0,72,57,70,76,96
"DLGAP1",0.135635679604682,3,438.5868814,53.83571429,3,0,72,48,93,76,96
"TNRC6A",0.134765111224915,3,129.683969,55.92738095,3,0,72,91,78,76,96
"ETF1",0.133308398921491,3,206.8229605,54.58571429,3,0,72,78,87,76,96
"PARD3",0.133061770134581,3,706,50.39642857,3,0,72,30,115,76,96
"RAP1B",0.132907435860565,3,359.3333333,53.14642857,3,0,72,58,96,76,96
"ANXA11",0.130632033145711,1,0,60.94285714,1,0,140,131,53,140,96
"GOLM1",0.130632033145711,1,0,60.94285714,1,0,140,131,53,140,96
"IGSF8",0.130632033145711,1,0,60.94285714,1,0,140,131,53,140,96
"MIS18BP1",0.129234963794223,2,528.5216159,52.96071429,2,0,100,41,99,100,96
