"","cas","cluster","inchikey","short_key","target_gene"
"250","1951-25-3",2,"IYIKLHRQXLHMJQ-UHFFFAOYSA-N","IYIKLHRQXLHMJQ","EBP"
"251","1951-25-3",2,"IYIKLHRQXLHMJQ-UHFFFAOYSA-N","IYIKLHRQXLHMJQ","KCNA7"
"252","1951-25-3",2,"IYIKLHRQXLHMJQ-UHFFFAOYSA-N","IYIKLHRQXLHMJQ","SCN5A"
"253","1951-25-3",2,"IYIKLHRQXLHMJQ-UHFFFAOYSA-N","IYIKLHRQXLHMJQ","SIGMAR1"
"254","1951-25-3",2,"IYIKLHRQXLHMJQ-UHFFFAOYSA-N","IYIKLHRQXLHMJQ","KCNH2"
"255","101477-54-7",2,"JQSAYKKFZOSZGJ-UHFFFAOYSA-N","JQSAYKKFZOSZGJ","CACNA1B"
"256","NOCAS_45916",2,"OGHNVEJMJSYVRP-UHFFFAOYSA-N","OGHNVEJMJSYVRP","DRD2"
"257","NOCAS_45916",2,"OGHNVEJMJSYVRP-UHFFFAOYSA-N","OGHNVEJMJSYVRP","RYR2"
"258","NOCAS_45916",2,"OGHNVEJMJSYVRP-UHFFFAOYSA-N","OGHNVEJMJSYVRP","SLC6A2"
"259","NOCAS_45916",2,"OGHNVEJMJSYVRP-UHFFFAOYSA-N","OGHNVEJMJSYVRP","SLC6A3"
"260","NOCAS_45916",2,"OGHNVEJMJSYVRP-UHFFFAOYSA-N","OGHNVEJMJSYVRP","SLC6A4"
"261","NOCAS_45916",2,"OGHNVEJMJSYVRP-UHFFFAOYSA-N","OGHNVEJMJSYVRP","ADRB2"
"262","NOCAS_45916",2,"OGHNVEJMJSYVRP-UHFFFAOYSA-N","OGHNVEJMJSYVRP","ADRA2B"
"263","NOCAS_45916",2,"OGHNVEJMJSYVRP-UHFFFAOYSA-N","OGHNVEJMJSYVRP","ADRA2C"
"264","NOCAS_45916",2,"OGHNVEJMJSYVRP-UHFFFAOYSA-N","OGHNVEJMJSYVRP","ADRB3"
"265","NOCAS_45916",2,"OGHNVEJMJSYVRP-UHFFFAOYSA-N","OGHNVEJMJSYVRP","ADRA2A"
"266","NOCAS_45916",2,"OGHNVEJMJSYVRP-UHFFFAOYSA-N","OGHNVEJMJSYVRP","ADRB1"
"267","NOCAS_45916",2,"OGHNVEJMJSYVRP-UHFFFAOYSA-N","OGHNVEJMJSYVRP","ADRA1D"
"268","NOCAS_45916",2,"OGHNVEJMJSYVRP-UHFFFAOYSA-N","OGHNVEJMJSYVRP","HTR2C"
"269","NOCAS_45916",2,"OGHNVEJMJSYVRP-UHFFFAOYSA-N","OGHNVEJMJSYVRP","HTR2B"
"270","NOCAS_45916",2,"OGHNVEJMJSYVRP-UHFFFAOYSA-N","OGHNVEJMJSYVRP","KCNK2"
"271","NOCAS_45916",2,"OGHNVEJMJSYVRP-UHFFFAOYSA-N","OGHNVEJMJSYVRP","KCNH2"
"272","NOCAS_45916",2,"OGHNVEJMJSYVRP-UHFFFAOYSA-N","OGHNVEJMJSYVRP","KCNK10"
"273","170729-80-3",2,"ATALOFNDEOCMKK-UHFFFAOYSA-N","ATALOFNDEOCMKK","CYP3A4"
"274","170729-80-3",2,"ATALOFNDEOCMKK-UHFFFAOYSA-N","ATALOFNDEOCMKK","TACR1"
"275","184475-35-2",2,"XGALLCVXEZPNRQ-UHFFFAOYSA-N","XGALLCVXEZPNRQ","ERBB2"
"276","184475-35-2",2,"XGALLCVXEZPNRQ-UHFFFAOYSA-N","XGALLCVXEZPNRQ","EGFR"
"277","184475-35-2",2,"XGALLCVXEZPNRQ-UHFFFAOYSA-N","XGALLCVXEZPNRQ","GAK"
"278","184475-35-2",2,"XGALLCVXEZPNRQ-UHFFFAOYSA-N","XGALLCVXEZPNRQ","RIPK2"
"279","184475-35-2",2,"XGALLCVXEZPNRQ-UHFFFAOYSA-N","XGALLCVXEZPNRQ","ABCG2"
"280","2062-78-4",2,"YVUQSNJEYSNKRX-UHFFFAOYSA-N","YVUQSNJEYSNKRX","DRD2"
"281","2062-78-4",2,"YVUQSNJEYSNKRX-UHFFFAOYSA-N","YVUQSNJEYSNKRX","CACNA1H"
"282","2062-78-4",2,"YVUQSNJEYSNKRX-UHFFFAOYSA-N","YVUQSNJEYSNKRX","ABCB1"
"283","2062-78-4",2,"YVUQSNJEYSNKRX-UHFFFAOYSA-N","YVUQSNJEYSNKRX","KCNJ6"
"284","2062-78-4",2,"YVUQSNJEYSNKRX-UHFFFAOYSA-N","YVUQSNJEYSNKRX","HRH1"
"285","2062-78-4",2,"YVUQSNJEYSNKRX-UHFFFAOYSA-N","YVUQSNJEYSNKRX","CACNA1G"
"286","2062-78-4",2,"YVUQSNJEYSNKRX-UHFFFAOYSA-N","YVUQSNJEYSNKRX","CACNA1I"
"287","2062-78-4",2,"YVUQSNJEYSNKRX-UHFFFAOYSA-N","YVUQSNJEYSNKRX","DRD3"
"288","2062-78-4",2,"YVUQSNJEYSNKRX-UHFFFAOYSA-N","YVUQSNJEYSNKRX","HTR7"
"289","2062-78-4",2,"YVUQSNJEYSNKRX-UHFFFAOYSA-N","YVUQSNJEYSNKRX","HTR1A"
"290","2062-78-4",2,"YVUQSNJEYSNKRX-UHFFFAOYSA-N","YVUQSNJEYSNKRX","HTR6"
"291","2062-78-4",2,"YVUQSNJEYSNKRX-UHFFFAOYSA-N","YVUQSNJEYSNKRX","KCNK2"
"292","2062-78-4",2,"YVUQSNJEYSNKRX-UHFFFAOYSA-N","YVUQSNJEYSNKRX","GLRA1"
"293","2062-78-4",2,"YVUQSNJEYSNKRX-UHFFFAOYSA-N","YVUQSNJEYSNKRX","KCNH2"
"294","2062-78-4",2,"YVUQSNJEYSNKRX-UHFFFAOYSA-N","YVUQSNJEYSNKRX","KCNA10"
"295","3416-26-0",2,"ZBIAKUMOEKILTF-UHFFFAOYSA-N","ZBIAKUMOEKILTF","SLC29A1"
"296","3416-26-0",2,"ZBIAKUMOEKILTF-UHFFFAOYSA-N","ZBIAKUMOEKILTF","KCNH2"
"297","2152-44-5",3,"SNHRLVCMMWUAJD-UHFFFAOYSA-N","SNHRLVCMMWUAJD","NR3C1"
"298","51333-22-3",3,"VOVIALXJUBGFJZ-UHFFFAOYSA-N","VOVIALXJUBGFJZ","NR3C1"
"299","51333-22-3",3,"VOVIALXJUBGFJZ-UHFFFAOYSA-N","VOVIALXJUBGFJZ","PGR"
"300","51333-22-3",3,"VOVIALXJUBGFJZ-UHFFFAOYSA-N","VOVIALXJUBGFJZ","NR3C2"
"301","83919-23-7",3,"WOFMFGQZHJDGCX-UHFFFAOYSA-N","WOFMFGQZHJDGCX","NR3C1"
"302","83919-23-7",3,"WOFMFGQZHJDGCX-UHFFFAOYSA-N","WOFMFGQZHJDGCX","SLCO1B3"
"303","83919-23-7",3,"WOFMFGQZHJDGCX-UHFFFAOYSA-N","WOFMFGQZHJDGCX","PGR"
"304","127-31-1",4,"AAXVEMMRQDVLJB-UHFFFAOYSA-N","AAXVEMMRQDVLJB","NR3C2"
"305","1177-87-3",4,"AKUJBENLRBOFTD-UHFFFAOYSA-N","AKUJBENLRBOFTD","NR3C1"
"306","50-03-3",4,"ALEXXDVDDISNDU-UHFFFAOYSA-N","ALEXXDVDDISNDU","NR3C1"
"307","50-03-3",4,"ALEXXDVDDISNDU-UHFFFAOYSA-N","ALEXXDVDDISNDU","SERPINA6"
"308","13609-67-1",4,"BMCQMVFGOVHVNG-UHFFFAOYSA-N","BMCQMVFGOVHVNG","NR3C1"
"309","33564-31-7",4,"BOBLHFUVNSFZPJ-UHFFFAOYSA-N","BOBLHFUVNSFZPJ","NR3C1"
"310","25122-46-7",4,"CBGUOGMQLZIXBE-UHFFFAOYSA-N","CBGUOGMQLZIXBE","CYP3A4"
"311","25122-46-7",4,"CBGUOGMQLZIXBE-UHFFFAOYSA-N","CBGUOGMQLZIXBE","NR3C1"
"312","25122-46-7",4,"CBGUOGMQLZIXBE-UHFFFAOYSA-N","CBGUOGMQLZIXBE","CYP3A5"
"313","82034-46-6",4,"DMKSVUSAATWOCU-UHFFFAOYSA-N","DMKSVUSAATWOCU","NR3C1"
"314","426-13-1",4,"FAOZLTXFLGPHNG-UHFFFAOYSA-N","FAOZLTXFLGPHNG","NR3C1"
"315","25122-57-0",4,"FBRAWBYQGRLCEK-UHFFFAOYSA-N","FBRAWBYQGRLCEK","NR3C1"
"316","67-73-2",4,"FEBLZLNTKCEFIT-UHFFFAOYSA-N","FEBLZLNTKCEFIT","NR3C1"
"317","520-85-4",4,"FRQMUZJSZHZSGN-UHFFFAOYSA-N","FRQMUZJSZHZSGN","NR3C1"
"318","520-85-4",4,"FRQMUZJSZHZSGN-UHFFFAOYSA-N","FRQMUZJSZHZSGN","PGR"
"319","57524-89-7",4,"FZCHYNWYXKICIO-UHFFFAOYSA-N","FZCHYNWYXKICIO","NR3C1"
"320","124-94-7",4,"GFNANZIMVAIWHM-UHFFFAOYSA-N","GFNANZIMVAIWHM","NR3C1"
"321","2668-66-8",4,"GZENKSODFLBBHQ-UHFFFAOYSA-N","GZENKSODFLBBHQ","NR3C1"
"322","2668-66-8",4,"GZENKSODFLBBHQ-UHFFFAOYSA-N","GZENKSODFLBBHQ","CYP2C9"
"323","50-23-7",4,"JYGXADMDTFJGBT-UHFFFAOYSA-N","JYGXADMDTFJGBT","NR3C1"
"324","50-23-7",4,"JYGXADMDTFJGBT-UHFFFAOYSA-N","JYGXADMDTFJGBT","SHBG"
"325","50-23-7",4,"JYGXADMDTFJGBT-UHFFFAOYSA-N","JYGXADMDTFJGBT","NR3C2"
"326","50-23-7",4,"JYGXADMDTFJGBT-UHFFFAOYSA-N","JYGXADMDTFJGBT","SERPINA6"
"327","52-21-1",4,"LRJOMUJRLNCICJ-UHFFFAOYSA-N","LRJOMUJRLNCICJ","NR3C1"
"328","3093-35-4",4,"MUQNGPZZQDCDFT-UHFFFAOYSA-N","MUQNGPZZQDCDFT","NR3C1"
"329","53-34-9",4,"MYYIMZRZXIQBGI-UHFFFAOYSA-N","MYYIMZRZXIQBGI","NR3C1"
"330","4419-39-0",4,"NBMKJKDGKREAPL-UHFFFAOYSA-N","NBMKJKDGKREAPL","NR3C1"
"331","50-24-8",4,"OIGNJSKKLXVSLS-UHFFFAOYSA-N","OIGNJSKKLXVSLS","NR3C1"
"332","50-24-8",4,"OIGNJSKKLXVSLS-UHFFFAOYSA-N","OIGNJSKKLXVSLS","NR3C2"
"333","50-24-8",4,"OIGNJSKKLXVSLS-UHFFFAOYSA-N","OIGNJSKKLXVSLS","SERPINA6"
"334","50-24-8",4,"OIGNJSKKLXVSLS-UHFFFAOYSA-N","OIGNJSKKLXVSLS","ADAM17"
"335","50-24-8",4,"OIGNJSKKLXVSLS-UHFFFAOYSA-N","OIGNJSKKLXVSLS","GLUL"
"336","50-24-8",4,"OIGNJSKKLXVSLS-UHFFFAOYSA-N","OIGNJSKKLXVSLS","IL6"
"337","50-22-6",4,"OMFXVFTZEKFJBZ-UHFFFAOYSA-N","OMFXVFTZEKFJBZ","NR3C1"
"338","50-22-6",4,"OMFXVFTZEKFJBZ-UHFFFAOYSA-N","OMFXVFTZEKFJBZ","SLC22A3"
"339","50-22-6",4,"OMFXVFTZEKFJBZ-UHFFFAOYSA-N","OMFXVFTZEKFJBZ","SHBG"
"340","50-22-6",4,"OMFXVFTZEKFJBZ-UHFFFAOYSA-N","OMFXVFTZEKFJBZ","NR3C2"
"341","50-22-6",4,"OMFXVFTZEKFJBZ-UHFFFAOYSA-N","OMFXVFTZEKFJBZ","SERPINA6"
"342","1524-88-5",4,"POPFMWWJOGLOIF-UHFFFAOYSA-N","POPFMWWJOGLOIF","NR3C1"
"343","71-58-9",4,"PSGAAPLEWMOORI-UHFFFAOYSA-N","PSGAAPLEWMOORI","NR3C1"
"344","71-58-9",4,"PSGAAPLEWMOORI-UHFFFAOYSA-N","PSGAAPLEWMOORI","SHBG"
"345","71-58-9",4,"PSGAAPLEWMOORI-UHFFFAOYSA-N","PSGAAPLEWMOORI","PGR"
"346","71-58-9",4,"PSGAAPLEWMOORI-UHFFFAOYSA-N","PSGAAPLEWMOORI","AKR1C3"
"347","71-58-9",4,"PSGAAPLEWMOORI-UHFFFAOYSA-N","PSGAAPLEWMOORI","AKR1C1"
"348","71-58-9",4,"PSGAAPLEWMOORI-UHFFFAOYSA-N","PSGAAPLEWMOORI","AR"
"349","33755-46-3",4,"SNHRLVCMMWUAJD-UHFFFAOYSA-N","SNHRLVCMMWUAJD","NR3C1"
"350","378-44-9",4,"UREBDLICKHMUKA-UHFFFAOYSA-N","UREBDLICKHMUKA","CYP2D6"
"351","378-44-9",4,"UREBDLICKHMUKA-UHFFFAOYSA-N","UREBDLICKHMUKA","NR3C1"
"352","378-44-9",4,"UREBDLICKHMUKA-UHFFFAOYSA-N","UREBDLICKHMUKA","NR3C2"
"353","378-44-9",4,"UREBDLICKHMUKA-UHFFFAOYSA-N","UREBDLICKHMUKA","NR1I2"
"354","83-43-2",4,"VHRSUDSXCMQTMA-UHFFFAOYSA-N","VHRSUDSXCMQTMA","NR3C1"
"355","83-43-2",4,"VHRSUDSXCMQTMA-UHFFFAOYSA-N","VHRSUDSXCMQTMA","TRPC5"
