"","cas","cluster","inchikey","short_key","target_gene"
"105","1098-60-8",1,"XSCGXQMFQXDFCW-UHFFFAOYSA-N","XSCGXQMFQXDFCW","CHRM1"
"106","1098-60-8",1,"XSCGXQMFQXDFCW-UHFFFAOYSA-N","XSCGXQMFQXDFCW","CHRM2"
"107","1098-60-8",1,"XSCGXQMFQXDFCW-UHFFFAOYSA-N","XSCGXQMFQXDFCW","DRD1"
"108","1098-60-8",1,"XSCGXQMFQXDFCW-UHFFFAOYSA-N","XSCGXQMFQXDFCW","DRD2"
"109","1098-60-8",1,"XSCGXQMFQXDFCW-UHFFFAOYSA-N","XSCGXQMFQXDFCW","HTR2B"
"110","14976-57-9",1,"YNNUSGIPVFPVBX-UHFFFAOYSA-N","YNNUSGIPVFPVBX","HRH1"
"111","136434-34-9",1,"ZEUITGRIYCTCEM-UHFFFAOYSA-N","ZEUITGRIYCTCEM","HTR2A"
"112","136434-34-9",1,"ZEUITGRIYCTCEM-UHFFFAOYSA-N","ZEUITGRIYCTCEM","HTR2C"
"113","136434-34-9",1,"ZEUITGRIYCTCEM-UHFFFAOYSA-N","ZEUITGRIYCTCEM","HTR6"
"114","136434-34-9",1,"ZEUITGRIYCTCEM-UHFFFAOYSA-N","ZEUITGRIYCTCEM","SLC6A2"
"115","136434-34-9",1,"ZEUITGRIYCTCEM-UHFFFAOYSA-N","ZEUITGRIYCTCEM","SLC6A3"
"116","136434-34-9",1,"ZEUITGRIYCTCEM-UHFFFAOYSA-N","ZEUITGRIYCTCEM","SLC6A4"
"117","50-53-3",1,"ZPEIMTDSQAKGNT-UHFFFAOYSA-N","ZPEIMTDSQAKGNT","ADRA1A"
"118","50-53-3",1,"ZPEIMTDSQAKGNT-UHFFFAOYSA-N","ZPEIMTDSQAKGNT","ADRA1B"
"119","50-53-3",1,"ZPEIMTDSQAKGNT-UHFFFAOYSA-N","ZPEIMTDSQAKGNT","ADRA1D"
"120","50-53-3",1,"ZPEIMTDSQAKGNT-UHFFFAOYSA-N","ZPEIMTDSQAKGNT","ADRA2A"
"121","50-53-3",1,"ZPEIMTDSQAKGNT-UHFFFAOYSA-N","ZPEIMTDSQAKGNT","ADRA2B"
"122","50-53-3",1,"ZPEIMTDSQAKGNT-UHFFFAOYSA-N","ZPEIMTDSQAKGNT","ADRA2C"
"123","50-53-3",1,"ZPEIMTDSQAKGNT-UHFFFAOYSA-N","ZPEIMTDSQAKGNT","CALM1"
"124","50-53-3",1,"ZPEIMTDSQAKGNT-UHFFFAOYSA-N","ZPEIMTDSQAKGNT","CHRM1"
"125","50-53-3",1,"ZPEIMTDSQAKGNT-UHFFFAOYSA-N","ZPEIMTDSQAKGNT","CHRM3"
"126","50-53-3",1,"ZPEIMTDSQAKGNT-UHFFFAOYSA-N","ZPEIMTDSQAKGNT","DRD1"
"127","50-53-3",1,"ZPEIMTDSQAKGNT-UHFFFAOYSA-N","ZPEIMTDSQAKGNT","DRD2"
"128","50-53-3",1,"ZPEIMTDSQAKGNT-UHFFFAOYSA-N","ZPEIMTDSQAKGNT","DRD3"
"129","50-53-3",1,"ZPEIMTDSQAKGNT-UHFFFAOYSA-N","ZPEIMTDSQAKGNT","DRD4"
"130","50-53-3",1,"ZPEIMTDSQAKGNT-UHFFFAOYSA-N","ZPEIMTDSQAKGNT","DRD5"
"131","50-53-3",1,"ZPEIMTDSQAKGNT-UHFFFAOYSA-N","ZPEIMTDSQAKGNT","HRH1"
"132","50-53-3",1,"ZPEIMTDSQAKGNT-UHFFFAOYSA-N","ZPEIMTDSQAKGNT","HRH4"
"133","50-53-3",1,"ZPEIMTDSQAKGNT-UHFFFAOYSA-N","ZPEIMTDSQAKGNT","HTR1A"
"134","50-53-3",1,"ZPEIMTDSQAKGNT-UHFFFAOYSA-N","ZPEIMTDSQAKGNT","HTR2A"
"135","50-53-3",1,"ZPEIMTDSQAKGNT-UHFFFAOYSA-N","ZPEIMTDSQAKGNT","HTR2B"
"136","50-53-3",1,"ZPEIMTDSQAKGNT-UHFFFAOYSA-N","ZPEIMTDSQAKGNT","HTR2C"
"137","50-53-3",1,"ZPEIMTDSQAKGNT-UHFFFAOYSA-N","ZPEIMTDSQAKGNT","HTR6"
"138","50-53-3",1,"ZPEIMTDSQAKGNT-UHFFFAOYSA-N","ZPEIMTDSQAKGNT","HTR7"
"139","50-53-3",1,"ZPEIMTDSQAKGNT-UHFFFAOYSA-N","ZPEIMTDSQAKGNT","KCNH2"
"140","50-53-3",1,"ZPEIMTDSQAKGNT-UHFFFAOYSA-N","ZPEIMTDSQAKGNT","ORM1"
"141","50-53-3",1,"ZPEIMTDSQAKGNT-UHFFFAOYSA-N","ZPEIMTDSQAKGNT","ORM2"
"142","50-53-3",1,"ZPEIMTDSQAKGNT-UHFFFAOYSA-N","ZPEIMTDSQAKGNT","SMPD1"
"143","50-53-3",1,"ZPEIMTDSQAKGNT-UHFFFAOYSA-N","ZPEIMTDSQAKGNT","TRPC5"
"144","1244-76-4",1,"ZQDWXGKKHFNSQK-UHFFFAOYSA-N","ZQDWXGKKHFNSQK","HRH1"
"145","231277-92-2",2,"BCFGMOOMADDAQU-UHFFFAOYSA-N","BCFGMOOMADDAQU","EGFR"
"146","231277-92-2",2,"BCFGMOOMADDAQU-UHFFFAOYSA-N","BCFGMOOMADDAQU","ERBB2"
"147","129722-12-9",2,"CEUORZQYGODEFX-UHFFFAOYSA-N","CEUORZQYGODEFX","ADRA1A"
"148","129722-12-9",2,"CEUORZQYGODEFX-UHFFFAOYSA-N","CEUORZQYGODEFX","ADRA1B"
"149","129722-12-9",2,"CEUORZQYGODEFX-UHFFFAOYSA-N","CEUORZQYGODEFX","ADRA2A"
"150","129722-12-9",2,"CEUORZQYGODEFX-UHFFFAOYSA-N","CEUORZQYGODEFX","ADRA2B"
"151","129722-12-9",2,"CEUORZQYGODEFX-UHFFFAOYSA-N","CEUORZQYGODEFX","ADRA2C"
"152","129722-12-9",2,"CEUORZQYGODEFX-UHFFFAOYSA-N","CEUORZQYGODEFX","CHRM1"
"153","129722-12-9",2,"CEUORZQYGODEFX-UHFFFAOYSA-N","CEUORZQYGODEFX","CHRM2"
"154","129722-12-9",2,"CEUORZQYGODEFX-UHFFFAOYSA-N","CEUORZQYGODEFX","CHRM3"
"155","129722-12-9",2,"CEUORZQYGODEFX-UHFFFAOYSA-N","CEUORZQYGODEFX","CHRM4"
"156","129722-12-9",2,"CEUORZQYGODEFX-UHFFFAOYSA-N","CEUORZQYGODEFX","CHRM5"
"157","129722-12-9",2,"CEUORZQYGODEFX-UHFFFAOYSA-N","CEUORZQYGODEFX","DRD1"
"158","129722-12-9",2,"CEUORZQYGODEFX-UHFFFAOYSA-N","CEUORZQYGODEFX","DRD2"
"159","129722-12-9",2,"CEUORZQYGODEFX-UHFFFAOYSA-N","CEUORZQYGODEFX","DRD3"
"160","129722-12-9",2,"CEUORZQYGODEFX-UHFFFAOYSA-N","CEUORZQYGODEFX","DRD4"
"161","129722-12-9",2,"CEUORZQYGODEFX-UHFFFAOYSA-N","CEUORZQYGODEFX","DRD5"
"162","129722-12-9",2,"CEUORZQYGODEFX-UHFFFAOYSA-N","CEUORZQYGODEFX","HRH1"
"163","129722-12-9",2,"CEUORZQYGODEFX-UHFFFAOYSA-N","CEUORZQYGODEFX","HTR1A"
"164","129722-12-9",2,"CEUORZQYGODEFX-UHFFFAOYSA-N","CEUORZQYGODEFX","HTR1B"
"165","129722-12-9",2,"CEUORZQYGODEFX-UHFFFAOYSA-N","CEUORZQYGODEFX","HTR1D"
"166","129722-12-9",2,"CEUORZQYGODEFX-UHFFFAOYSA-N","CEUORZQYGODEFX","HTR1E"
"167","129722-12-9",2,"CEUORZQYGODEFX-UHFFFAOYSA-N","CEUORZQYGODEFX","HTR2A"
"168","129722-12-9",2,"CEUORZQYGODEFX-UHFFFAOYSA-N","CEUORZQYGODEFX","HTR2C"
"169","129722-12-9",2,"CEUORZQYGODEFX-UHFFFAOYSA-N","CEUORZQYGODEFX","HTR3A"
"170","129722-12-9",2,"CEUORZQYGODEFX-UHFFFAOYSA-N","CEUORZQYGODEFX","HTR6"
"171","129722-12-9",2,"CEUORZQYGODEFX-UHFFFAOYSA-N","CEUORZQYGODEFX","HTR7"
"172","19774-82-4",2,"IYIKLHRQXLHMJQ-UHFFFAOYSA-N","IYIKLHRQXLHMJQ","ADRB1"
"173","19774-82-4",2,"IYIKLHRQXLHMJQ-UHFFFAOYSA-N","IYIKLHRQXLHMJQ","CACNA1H"
"174","19774-82-4",2,"IYIKLHRQXLHMJQ-UHFFFAOYSA-N","IYIKLHRQXLHMJQ","CACNA2D2"
"175","19774-82-4",2,"IYIKLHRQXLHMJQ-UHFFFAOYSA-N","IYIKLHRQXLHMJQ","KCNA7"
"176","19774-82-4",2,"IYIKLHRQXLHMJQ-UHFFFAOYSA-N","IYIKLHRQXLHMJQ","KCNH2"
"177","1951-25-3",2,"IYIKLHRQXLHMJQ-UHFFFAOYSA-N","IYIKLHRQXLHMJQ","ADRB1"
"178","1951-25-3",2,"IYIKLHRQXLHMJQ-UHFFFAOYSA-N","IYIKLHRQXLHMJQ","CACNA1H"
"179","1951-25-3",2,"IYIKLHRQXLHMJQ-UHFFFAOYSA-N","IYIKLHRQXLHMJQ","CACNA2D2"
"180","1951-25-3",2,"IYIKLHRQXLHMJQ-UHFFFAOYSA-N","IYIKLHRQXLHMJQ","KCNA7"
"181","1951-25-3",2,"IYIKLHRQXLHMJQ-UHFFFAOYSA-N","IYIKLHRQXLHMJQ","KCNH2"
"182","101477-54-7",2,"JQSAYKKFZOSZGJ-UHFFFAOYSA-N","JQSAYKKFZOSZGJ","CACNA1B"
"183","101477-54-7",2,"JQSAYKKFZOSZGJ-UHFFFAOYSA-N","JQSAYKKFZOSZGJ","SCN5A"
"184","NOCAS_45916",2,"OGHNVEJMJSYVRP-UHFFFAOYSA-N","OGHNVEJMJSYVRP","ADRB1"
"185","NOCAS_45916",2,"OGHNVEJMJSYVRP-UHFFFAOYSA-N","OGHNVEJMJSYVRP","ADRB2"
"186","NOCAS_45916",2,"OGHNVEJMJSYVRP-UHFFFAOYSA-N","OGHNVEJMJSYVRP","ADRB3"
"187","57132-53-3",2,"PTXGHCGBYMQQIG-UHFFFAOYSA-N","PTXGHCGBYMQQIG","PTGS1"
"188","57132-53-3",2,"PTXGHCGBYMQQIG-UHFFFAOYSA-N","PTXGHCGBYMQQIG","PTGS2"
"189","170729-80-3",2,"ATALOFNDEOCMKK-UHFFFAOYSA-N","ATALOFNDEOCMKK","TACR1"
"190","184475-35-2",2,"XGALLCVXEZPNRQ-UHFFFAOYSA-N","XGALLCVXEZPNRQ","EGFR"
"191","2062-78-4",2,"YVUQSNJEYSNKRX-UHFFFAOYSA-N","YVUQSNJEYSNKRX","CACNA1I"
"192","2062-78-4",2,"YVUQSNJEYSNKRX-UHFFFAOYSA-N","YVUQSNJEYSNKRX","CALM1"
"193","2062-78-4",2,"YVUQSNJEYSNKRX-UHFFFAOYSA-N","YVUQSNJEYSNKRX","DRD1"
"194","2062-78-4",2,"YVUQSNJEYSNKRX-UHFFFAOYSA-N","YVUQSNJEYSNKRX","DRD2"
"195","2062-78-4",2,"YVUQSNJEYSNKRX-UHFFFAOYSA-N","YVUQSNJEYSNKRX","DRD3"
"196","2062-78-4",2,"YVUQSNJEYSNKRX-UHFFFAOYSA-N","YVUQSNJEYSNKRX","DRD4"
"197","2062-78-4",2,"YVUQSNJEYSNKRX-UHFFFAOYSA-N","YVUQSNJEYSNKRX","DRD5"
"198","2062-78-4",2,"YVUQSNJEYSNKRX-UHFFFAOYSA-N","YVUQSNJEYSNKRX","HRH1"
"199","2062-78-4",2,"YVUQSNJEYSNKRX-UHFFFAOYSA-N","YVUQSNJEYSNKRX","HTR1A"
